Source;Target;Weight;Type
1;2;0.9238558;Undirected
2;1;0.9238558;Undirected
3;4;0.9166667;Undirected
4;3;0.9166667;Undirected
5;3;0.9015152;Undirected
3;5;0.9015152;Undirected
6;7;0.875;Undirected
7;6;0.875;Undirected
5;4;0.8181818;Undirected
4;5;0.8181818;Undirected
8;9;0.7794118;Undirected
9;8;0.7794118;Undirected
10;11;0.7638037;Undirected
11;10;0.7638037;Undirected
1;12;0.719795;Undirected
12;1;0.719795;Undirected
13;2;0.6761905;Undirected
2;13;0.6761905;Undirected
14;7;0.6666667;Undirected
7;14;0.6666667;Undirected
6;14;0.6666667;Undirected
14;6;0.6666667;Undirected
15;8;0.6617647;Undirected
8;15;0.6617647;Undirected
13;1;0.6440129;Undirected
1;13;0.6440129;Undirected
12;2;0.6436508;Undirected
2;12;0.6436508;Undirected
13;16;0.625;Undirected
16;13;0.625;Undirected
16;2;0.5857143;Undirected
2;16;0.5857143;Undirected
17;8;0.5826331;Undirected
8;17;0.5826331;Undirected
16;1;0.5582524;Undirected
1;16;0.5582524;Undirected
15;2;0.5428571;Undirected
2;15;0.5428571;Undirected
15;16;0.53125;Undirected
16;15;0.53125;Undirected
15;17;0.5238095;Undirected
17;15;0.5238095;Undirected
14;5;0.5151515;Undirected
5;14;0.5151515;Undirected
15;9;0.5;Undirected
15;13;0.5;Undirected
9;15;0.5;Undirected
13;15;0.5;Undirected
13;17;0.4761905;Undirected
17;13;0.4761905;Undirected
15;1;0.473301;Undirected
1;15;0.473301;Undirected
16;12;0.4409722;Undirected
12;16;0.4409722;Undirected
17;9;0.4285714;Undirected
9;17;0.4285714;Undirected
8;2;0.4260504;Undirected
2;8;0.4260504;Undirected
14;3;0.4166667;Undirected
3;14;0.4166667;Undirected
13;12;0.3888889;Undirected
12;13;0.3888889;Undirected
13;8;0.3872549;Undirected
8;13;0.3872549;Undirected
18;17;0.3809524;Undirected
17;18;0.3809524;Undirected
1;8;0.3802113;Undirected
8;1;0.3802113;Undirected
17;2;0.3666667;Undirected
2;17;0.3666667;Undirected
14;4;0.3333333;Undirected
4;14;0.3333333;Undirected
17;1;0.3161119;Undirected
1;17;0.3161119;Undirected
16;8;0.2518382;Undirected
8;16;0.2518382;Undirected
2;9;0.2357143;Undirected
9;2;0.2357143;Undirected
19;11;0.2239264;Undirected
11;19;0.2239264;Undirected
15;12;0.2222222;Undirected
12;15;0.2222222;Undirected
16;17;0.2202381;Undirected
17;16;0.2202381;Undirected
1;9;0.1917476;Undirected
9;1;0.1917476;Undirected
7;5;0.1818182;Undirected
6;5;0.1818182;Undirected
5;7;0.1818182;Undirected
5;6;0.1818182;Undirected
13;11;0.1789366;Undirected
11;13;0.1789366;Undirected
13;9;0.1666667;Undirected
13;19;0.1666667;Undirected
9;13;0.1666667;Undirected
19;13;0.1666667;Undirected
18;13;0.1666667;Undirected
13;18;0.1666667;Undirected
12;8;0.1617647;Undirected
8;12;0.1617647;Undirected
7;12;0.125;Undirected
12;7;0.125;Undirected
11;17;0.107508;Undirected
17;11;0.107508;Undirected
10;17;0.09761905;Undirected
17;10;0.09761905;Undirected
7;1;0.09708738;Undirected
1;7;0.09708738;Undirected
17;12;0.0952381;Undirected
12;17;0.0952381;Undirected
18;16;0.09375;Undirected
16;18;0.09375;Undirected
7;2;0.09285714;Undirected
2;7;0.09285714;Undirected
7;3;0.08333333;Undirected
6;3;0.08333333;Undirected
3;7;0.08333333;Undirected
3;6;0.08333333;Undirected
18;8;0.05882353;Undirected
8;18;0.05882353;Undirected
10;9;0.05;Undirected
10;2;0.05;Undirected
10;8;0.05;Undirected
10;1;0.05;Undirected
10;13;0.05;Undirected
10;15;0.05;Undirected
9;10;0.05;Undirected
2;10;0.05;Undirected
8;10;0.05;Undirected
1;10;0.05;Undirected
13;10;0.05;Undirected
15;10;0.05;Undirected
19;17;0.04761905;Undirected
17;19;0.04761905;Undirected
16;9;0.03125;Undirected
9;16;0.03125;Undirected
10;16;0.03125;Undirected
16;10;0.03125;Undirected
18;2;0.02857143;Undirected
2;18;0.02857143;Undirected
18;1;0.02669903;Undirected
1;18;0.02669903;Undirected
11;2;0.0194128;Undirected
2;11;0.0194128;Undirected
11;1;0.01469712;Undirected
1;11;0.01469712;Undirected
11;8;0.01226994;Undirected
8;11;0.01226994;Undirected
16;11;0.01226994;Undirected
18;11;0.01226994;Undirected
11;16;0.01226994;Undirected
11;18;0.01226994;Undirected
19;2;0.007142857;Undirected
2;19;0.007142857;Undirected
19;1;0.002427184;Undirected
1;19;0.002427184;Undirected
9;9;0;Undirected
4;9;0;Undirected
3;9;0;Undirected
12;9;0;Undirected
11;9;0;Undirected
5;9;0;Undirected
7;9;0;Undirected
19;9;0;Undirected
14;9;0;Undirected
18;9;0;Undirected
6;9;0;Undirected
9;4;0;Undirected
4;4;0;Undirected
2;4;0;Undirected
8;4;0;Undirected
12;4;0;Undirected
1;4;0;Undirected
17;4;0;Undirected
11;4;0;Undirected
16;4;0;Undirected
7;4;0;Undirected
19;4;0;Undirected
13;4;0;Undirected
15;4;0;Undirected
10;4;0;Undirected
18;4;0;Undirected
6;4;0;Undirected
4;2;0;Undirected
2;2;0;Undirected
3;2;0;Undirected
5;2;0;Undirected
14;2;0;Undirected
6;2;0;Undirected
4;8;0;Undirected
8;8;0;Undirected
3;8;0;Undirected
5;8;0;Undirected
7;8;0;Undirected
19;8;0;Undirected
14;8;0;Undirected
6;8;0;Undirected
9;3;0;Undirected
2;3;0;Undirected
8;3;0;Undirected
3;3;0;Undirected
12;3;0;Undirected
1;3;0;Undirected
17;3;0;Undirected
11;3;0;Undirected
16;3;0;Undirected
19;3;0;Undirected
13;3;0;Undirected
15;3;0;Undirected
10;3;0;Undirected
18;3;0;Undirected
9;12;0;Undirected
4;12;0;Undirected
3;12;0;Undirected
12;12;0;Undirected
11;12;0;Undirected
5;12;0;Undirected
19;12;0;Undirected
14;12;0;Undirected
10;12;0;Undirected
18;12;0;Undirected
6;12;0;Undirected
4;1;0;Undirected
3;1;0;Undirected
1;1;0;Undirected
5;1;0;Undirected
14;1;0;Undirected
6;1;0;Undirected
4;17;0;Undirected
3;17;0;Undirected
17;17;0;Undirected
5;17;0;Undirected
7;17;0;Undirected
14;17;0;Undirected
6;17;0;Undirected
9;11;0;Undirected
4;11;0;Undirected
3;11;0;Undirected
12;11;0;Undirected
11;11;0;Undirected
5;11;0;Undirected
7;11;0;Undirected
14;11;0;Undirected
15;11;0;Undirected
6;11;0;Undirected
4;16;0;Undirected
3;16;0;Undirected
16;16;0;Undirected
5;16;0;Undirected
7;16;0;Undirected
19;16;0;Undirected
14;16;0;Undirected
6;16;0;Undirected
9;5;0;Undirected
2;5;0;Undirected
8;5;0;Undirected
12;5;0;Undirected
1;5;0;Undirected
17;5;0;Undirected
11;5;0;Undirected
16;5;0;Undirected
5;5;0;Undirected
19;5;0;Undirected
13;5;0;Undirected
15;5;0;Undirected
10;5;0;Undirected
18;5;0;Undirected
9;7;0;Undirected
4;7;0;Undirected
8;7;0;Undirected
17;7;0;Undirected
11;7;0;Undirected
16;7;0;Undirected
7;7;0;Undirected
19;7;0;Undirected
13;7;0;Undirected
15;7;0;Undirected
10;7;0;Undirected
18;7;0;Undirected
9;19;0;Undirected
4;19;0;Undirected
8;19;0;Undirected
3;19;0;Undirected
12;19;0;Undirected
16;19;0;Undirected
5;19;0;Undirected
7;19;0;Undirected
19;19;0;Undirected
14;19;0;Undirected
15;19;0;Undirected
10;19;0;Undirected
18;19;0;Undirected
6;19;0;Undirected
4;13;0;Undirected
3;13;0;Undirected
5;13;0;Undirected
7;13;0;Undirected
13;13;0;Undirected
14;13;0;Undirected
6;13;0;Undirected
20;20;0;Undirected
9;14;0;Undirected
2;14;0;Undirected
8;14;0;Undirected
12;14;0;Undirected
1;14;0;Undirected
17;14;0;Undirected
11;14;0;Undirected
16;14;0;Undirected
19;14;0;Undirected
13;14;0;Undirected
14;14;0;Undirected
15;14;0;Undirected
10;14;0;Undirected
18;14;0;Undirected
4;15;0;Undirected
3;15;0;Undirected
11;15;0;Undirected
5;15;0;Undirected
7;15;0;Undirected
19;15;0;Undirected
14;15;0;Undirected
15;15;0;Undirected
18;15;0;Undirected
6;15;0;Undirected
4;10;0;Undirected
3;10;0;Undirected
12;10;0;Undirected
5;10;0;Undirected
7;10;0;Undirected
19;10;0;Undirected
14;10;0;Undirected
10;10;0;Undirected
18;10;0;Undirected
6;10;0;Undirected
9;18;0;Undirected
4;18;0;Undirected
3;18;0;Undirected
12;18;0;Undirected
5;18;0;Undirected
7;18;0;Undirected
19;18;0;Undirected
14;18;0;Undirected
15;18;0;Undirected
10;18;0;Undirected
18;18;0;Undirected
6;18;0;Undirected
9;6;0;Undirected
4;6;0;Undirected
2;6;0;Undirected
8;6;0;Undirected
12;6;0;Undirected
1;6;0;Undirected
17;6;0;Undirected
11;6;0;Undirected
16;6;0;Undirected
19;6;0;Undirected
13;6;0;Undirected
15;6;0;Undirected
10;6;0;Undirected
18;6;0;Undirected
6;6;0;Undirected
