Agoseris_glauca,Aquilegia_caerulea,Boechera_stricta,Castilleja_sulphurea,Claytonia_lanceolata,Collomia_linearis,Erigeron_speciosus,Erythronium_grandiflorum,Eucephalus_engelmannii,Helianthella_quinquenervis,Heliomeris_multiflora,Hydrophyllum_capitatum,Lathyrus_leucanthus,Ligusticum_porteri,Mertensia_ciliata,Osmorhiza_occidentalis,Dasiphora_fruticosa,Potentilla_gracilis,Ranunculus_inamoenus,Senecio_crassulus,Senecio_serra,Thalictrum_fendleri,Vicia_americana,Viola_nuttalli
0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,21
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,17,0,142
0,0,1,0,0,0,0,0,0,0,0,24,22,0,15,37,0,0,4,0,0,33,0,0
0,2,0,3,0,0,0,0,0,0,0,5,26,5,31,7,0,5,5,1,0,22,0,0
0,0,0,23,0,0,0,0,0,9,0,0,5,31,13,5,0,45,0,34,0,0,4,0
0,0,0,17,0,0,1,0,0,33,0,0,0,38,0,0,0,51,0,77,0,0,0,0
0,0,0,4,0,1,17,0,0,40,4,0,0,0,0,0,0,5,0,0,8,0,0,0
1,0,0,5,0,0,41,0,0,3,26,0,0,0,0,0,0,4,0,0,8,0,0,0
2,0,0,0,0,0,23,0,17,0,74,0,0,0,0,0,0,0,0,0,17,0,0,0
0,0,0,0,0,0,0,0,17,0,66,0,0,0,0,0,0,0,0,0,1,0,0,0
