Achillea_millefolium,Agoseris_aurantiaca,Androsace_septentrionalis,Artemisia_tridentata,Chrysothamnus_viscidiflorus,Cirsium_arvense,Collomia_linearis,Delphinium_nelsonii,Erigeron_speciosus,Eriogonum_umbellatum,Gayophytum_diffusum,Geranium_richardsonii,Lathyrus_leucanthus,Linaria_vulgaris,Lupinus_bakeri,Madia_glomerata,Mertensia_ciliata,Dasiphora_fruticosa,Potentilla_gracilis,Ranunculus_inamoenus,Taraxacum_officinale,Valeriana_occidentalis,Veratrum_tenuipetalum
0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,5,45,0
0,0,2,0,0,0,0,0,0,0,0,2,4,0,21,0,0,3,0,0,7,0,0
0,0,0,0,0,0,9,0,0,2,0,10,0,0,1,0,0,9,0,4,0,0,0
0,0,0,0,0,0,50,0,0,25,0,18,5,0,5,0,0,10,7,0,0,0,0
0,0,0,0,0,0,172,0,1,1,0,48,0,0,5,0,0,21,17,0,0,0,0
1,1,0,0,0,0,21,0,36,26,0,64,0,0,3,0,0,39,5,0,0,0,0
0,0,0,0,0,0,19,0,82,0,0,21,0,0,0,0,0,17,14,0,0,0,57
0,0,0,0,0,0,0,0,94,0,3,3,0,0,0,0,0,43,1,0,0,0,0
1,0,0,0,5,0,0,0,15,0,0,4,0,1,0,0,0,24,0,0,0,0,0
1,0,0,46,9,1,1,0,11,0,0,0,0,0,0,5,0,37,0,0,0,0,0
