"","species1","species2","SI","site"
"1","Achillea_millefolium","Achillea_millefolium"," 0.000000e+00","Road"
"2","Agoseris_aurantiaca","Achillea_millefolium"," 3.333333e-01","Road"
"3","Androsace_septentrionalis","Achillea_millefolium"," 1.110223e-16","Road"
"4","Artemisia_tridentata","Achillea_millefolium"," 3.333333e-01","Road"
"5","Chrysothamnus_viscidiflorus","Achillea_millefolium"," 6.666667e-01","Road"
"6","Cirsium_arvense","Achillea_millefolium"," 3.333333e-01","Road"
"7","Collomia_linearis","Achillea_millefolium"," 8.088235e-02","Road"
"8","Delphinium_nelsonii","Achillea_millefolium"," 1.110223e-16","Road"
"9","Erigeron_speciosus","Achillea_millefolium"," 2.594142e-01","Road"
"10","Eriogonum_umbellatum","Achillea_millefolium"," 3.333333e-01","Road"
"11","Gayophytum_diffusum","Achillea_millefolium"," 1.110223e-16","Road"
"12","Geranium_richardsonii","Achillea_millefolium"," 3.568627e-01","Road"
"13","Lathyrus_leucanthus","Achillea_millefolium"," 1.110223e-16","Road"
"14","Linaria_vulgaris","Achillea_millefolium"," 3.333333e-01","Road"
"15","Lupinus_bakeri","Achillea_millefolium"," 8.571429e-02","Road"
"16","Madia_glomerata","Achillea_millefolium"," 3.333333e-01","Road"
"17","Mertensia_ciliata","Achillea_millefolium",NA,"Road"
"18","Dasiphora_fruticosa","Achillea_millefolium"," 4.926108e-01","Road"
"19","Potentilla_gracilis","Achillea_millefolium"," 1.136364e-01","Road"
"20","Ranunculus_inamoenus","Achillea_millefolium"," 1.110223e-16","Road"
"21","Taraxacum_officinale","Achillea_millefolium"," 1.110223e-16","Road"
"22","Valeriana_occidentalis","Achillea_millefolium"," 1.110223e-16","Road"
"23","Veratrum_tenuipetalum","Achillea_millefolium"," 1.110223e-16","Road"
"24","Achillea_millefolium","Agoseris_aurantiaca"," 3.333333e-01","Road"
"25","Agoseris_aurantiaca","Agoseris_aurantiaca"," 0.000000e+00","Road"
"26","Androsace_septentrionalis","Agoseris_aurantiaca"," 0.000000e+00","Road"
"27","Artemisia_tridentata","Agoseris_aurantiaca"," 0.000000e+00","Road"
"28","Chrysothamnus_viscidiflorus","Agoseris_aurantiaca"," 0.000000e+00","Road"
"29","Cirsium_arvense","Agoseris_aurantiaca"," 0.000000e+00","Road"
"30","Collomia_linearis","Agoseris_aurantiaca"," 7.720588e-02","Road"
"31","Delphinium_nelsonii","Agoseris_aurantiaca"," 0.000000e+00","Road"
"32","Erigeron_speciosus","Agoseris_aurantiaca"," 1.506276e-01","Road"
"33","Eriogonum_umbellatum","Agoseris_aurantiaca"," 4.814815e-01","Road"
"34","Gayophytum_diffusum","Agoseris_aurantiaca"," 0.000000e+00","Road"
"35","Geranium_richardsonii","Agoseris_aurantiaca"," 3.764706e-01","Road"
"36","Lathyrus_leucanthus","Agoseris_aurantiaca"," 0.000000e+00","Road"
"37","Linaria_vulgaris","Agoseris_aurantiaca"," 0.000000e+00","Road"
"38","Lupinus_bakeri","Agoseris_aurantiaca"," 8.571429e-02","Road"
"39","Madia_glomerata","Agoseris_aurantiaca"," 0.000000e+00","Road"
"40","Mertensia_ciliata","Agoseris_aurantiaca",NA,"Road"
"41","Dasiphora_fruticosa","Agoseris_aurantiaca"," 1.921182e-01","Road"
"42","Potentilla_gracilis","Agoseris_aurantiaca"," 1.136364e-01","Road"
"43","Ranunculus_inamoenus","Agoseris_aurantiaca"," 0.000000e+00","Road"
"44","Taraxacum_officinale","Agoseris_aurantiaca"," 0.000000e+00","Road"
"45","Valeriana_occidentalis","Agoseris_aurantiaca"," 0.000000e+00","Road"
"46","Veratrum_tenuipetalum","Agoseris_aurantiaca"," 0.000000e+00","Road"
"47","Achillea_millefolium","Androsace_septentrionalis"," 1.110223e-16","Road"
"48","Agoseris_aurantiaca","Androsace_septentrionalis"," 0.000000e+00","Road"
"49","Androsace_septentrionalis","Androsace_septentrionalis"," 0.000000e+00","Road"
"50","Artemisia_tridentata","Androsace_septentrionalis"," 0.000000e+00","Road"
"51","Chrysothamnus_viscidiflorus","Androsace_septentrionalis"," 0.000000e+00","Road"
"52","Cirsium_arvense","Androsace_septentrionalis"," 0.000000e+00","Road"
"53","Collomia_linearis","Androsace_septentrionalis"," 0.000000e+00","Road"
"54","Delphinium_nelsonii","Androsace_septentrionalis"," 0.000000e+00","Road"
"55","Erigeron_speciosus","Androsace_septentrionalis"," 0.000000e+00","Road"
"56","Eriogonum_umbellatum","Androsace_septentrionalis"," 0.000000e+00","Road"
"57","Gayophytum_diffusum","Androsace_septentrionalis"," 0.000000e+00","Road"
"58","Geranium_richardsonii","Androsace_septentrionalis"," 1.176471e-02","Road"
"59","Lathyrus_leucanthus","Androsace_septentrionalis"," 4.444444e-01","Road"
"60","Linaria_vulgaris","Androsace_septentrionalis"," 0.000000e+00","Road"
"61","Lupinus_bakeri","Androsace_septentrionalis"," 6.000000e-01","Road"
"62","Madia_glomerata","Androsace_septentrionalis"," 0.000000e+00","Road"
"63","Mertensia_ciliata","Androsace_septentrionalis",NA,"Road"
"64","Dasiphora_fruticosa","Androsace_septentrionalis"," 1.477833e-02","Road"
"65","Potentilla_gracilis","Androsace_septentrionalis"," 1.110223e-16","Road"
"66","Ranunculus_inamoenus","Androsace_septentrionalis"," 0.000000e+00","Road"
"67","Taraxacum_officinale","Androsace_septentrionalis"," 5.833333e-01","Road"
"68","Valeriana_occidentalis","Androsace_septentrionalis"," 0.000000e+00","Road"
"69","Veratrum_tenuipetalum","Androsace_septentrionalis"," 0.000000e+00","Road"
"70","Achillea_millefolium","Artemisia_tridentata"," 3.333333e-01","Road"
"71","Agoseris_aurantiaca","Artemisia_tridentata"," 0.000000e+00","Road"
"72","Androsace_septentrionalis","Artemisia_tridentata"," 0.000000e+00","Road"
"73","Artemisia_tridentata","Artemisia_tridentata"," 0.000000e+00","Road"
"74","Chrysothamnus_viscidiflorus","Artemisia_tridentata"," 6.428571e-01","Road"
"75","Cirsium_arvense","Artemisia_tridentata"," 1.000000e+00","Road"
"76","Collomia_linearis","Artemisia_tridentata"," 3.676471e-03","Road"
"77","Delphinium_nelsonii","Artemisia_tridentata"," 0.000000e+00","Road"
"78","Erigeron_speciosus","Artemisia_tridentata"," 4.602510e-02","Road"
"79","Eriogonum_umbellatum","Artemisia_tridentata"," 0.000000e+00","Road"
"80","Gayophytum_diffusum","Artemisia_tridentata"," 0.000000e+00","Road"
"81","Geranium_richardsonii","Artemisia_tridentata"," 0.000000e+00","Road"
"82","Lathyrus_leucanthus","Artemisia_tridentata"," 0.000000e+00","Road"
"83","Linaria_vulgaris","Artemisia_tridentata"," 0.000000e+00","Road"
"84","Lupinus_bakeri","Artemisia_tridentata"," 0.000000e+00","Road"
"85","Madia_glomerata","Artemisia_tridentata"," 1.000000e+00","Road"
"86","Mertensia_ciliata","Artemisia_tridentata",NA,"Road"
"87","Dasiphora_fruticosa","Artemisia_tridentata"," 1.822660e-01","Road"
"88","Potentilla_gracilis","Artemisia_tridentata"," 0.000000e+00","Road"
"89","Ranunculus_inamoenus","Artemisia_tridentata"," 0.000000e+00","Road"
"90","Taraxacum_officinale","Artemisia_tridentata"," 0.000000e+00","Road"
"91","Valeriana_occidentalis","Artemisia_tridentata"," 0.000000e+00","Road"
"92","Veratrum_tenuipetalum","Artemisia_tridentata"," 0.000000e+00","Road"
"93","Achillea_millefolium","Chrysothamnus_viscidiflorus"," 6.666667e-01","Road"
"94","Agoseris_aurantiaca","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"95","Androsace_septentrionalis","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"96","Artemisia_tridentata","Chrysothamnus_viscidiflorus"," 6.428571e-01","Road"
"97","Chrysothamnus_viscidiflorus","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"98","Cirsium_arvense","Chrysothamnus_viscidiflorus"," 6.428571e-01","Road"
"99","Collomia_linearis","Chrysothamnus_viscidiflorus"," 3.676471e-03","Road"
"100","Delphinium_nelsonii","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"101","Erigeron_speciosus","Chrysothamnus_viscidiflorus"," 1.087866e-01","Road"
"102","Eriogonum_umbellatum","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"103","Gayophytum_diffusum","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"104","Geranium_richardsonii","Chrysothamnus_viscidiflorus"," 2.352941e-02","Road"
"105","Lathyrus_leucanthus","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"106","Linaria_vulgaris","Chrysothamnus_viscidiflorus"," 3.571429e-01","Road"
"107","Lupinus_bakeri","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"108","Madia_glomerata","Chrysothamnus_viscidiflorus"," 6.428571e-01","Road"
"109","Mertensia_ciliata","Chrysothamnus_viscidiflorus",NA,"Road"
"110","Dasiphora_fruticosa","Chrysothamnus_viscidiflorus"," 3.004926e-01","Road"
"111","Potentilla_gracilis","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"112","Ranunculus_inamoenus","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"113","Taraxacum_officinale","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"114","Valeriana_occidentalis","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"115","Veratrum_tenuipetalum","Chrysothamnus_viscidiflorus"," 0.000000e+00","Road"
"116","Achillea_millefolium","Cirsium_arvense"," 3.333333e-01","Road"
"117","Agoseris_aurantiaca","Cirsium_arvense"," 0.000000e+00","Road"
"118","Androsace_septentrionalis","Cirsium_arvense"," 0.000000e+00","Road"
"119","Artemisia_tridentata","Cirsium_arvense"," 1.000000e+00","Road"
"120","Chrysothamnus_viscidiflorus","Cirsium_arvense"," 6.428571e-01","Road"
"121","Cirsium_arvense","Cirsium_arvense"," 0.000000e+00","Road"
"122","Collomia_linearis","Cirsium_arvense"," 3.676471e-03","Road"
"123","Delphinium_nelsonii","Cirsium_arvense"," 0.000000e+00","Road"
"124","Erigeron_speciosus","Cirsium_arvense"," 4.602510e-02","Road"
"125","Eriogonum_umbellatum","Cirsium_arvense"," 0.000000e+00","Road"
"126","Gayophytum_diffusum","Cirsium_arvense"," 0.000000e+00","Road"
"127","Geranium_richardsonii","Cirsium_arvense"," 0.000000e+00","Road"
"128","Lathyrus_leucanthus","Cirsium_arvense"," 0.000000e+00","Road"
"129","Linaria_vulgaris","Cirsium_arvense"," 0.000000e+00","Road"
"130","Lupinus_bakeri","Cirsium_arvense"," 0.000000e+00","Road"
"131","Madia_glomerata","Cirsium_arvense"," 1.000000e+00","Road"
"132","Mertensia_ciliata","Cirsium_arvense",NA,"Road"
"133","Dasiphora_fruticosa","Cirsium_arvense"," 1.822660e-01","Road"
"134","Potentilla_gracilis","Cirsium_arvense"," 0.000000e+00","Road"
"135","Ranunculus_inamoenus","Cirsium_arvense"," 0.000000e+00","Road"
"136","Taraxacum_officinale","Cirsium_arvense"," 0.000000e+00","Road"
"137","Valeriana_occidentalis","Cirsium_arvense"," 0.000000e+00","Road"
"138","Veratrum_tenuipetalum","Cirsium_arvense"," 0.000000e+00","Road"
"139","Achillea_millefolium","Collomia_linearis"," 8.088235e-02","Road"
"140","Agoseris_aurantiaca","Collomia_linearis"," 7.720588e-02","Road"
"141","Androsace_septentrionalis","Collomia_linearis"," 0.000000e+00","Road"
"142","Artemisia_tridentata","Collomia_linearis"," 3.676471e-03","Road"
"143","Chrysothamnus_viscidiflorus","Collomia_linearis"," 3.676471e-03","Road"
"144","Cirsium_arvense","Collomia_linearis"," 3.676471e-03","Road"
"145","Collomia_linearis","Collomia_linearis"," 0.000000e+00","Road"
"146","Delphinium_nelsonii","Collomia_linearis"," 0.000000e+00","Road"
"147","Erigeron_speciosus","Collomia_linearis"," 1.549194e-01","Road"
"148","Eriogonum_umbellatum","Collomia_linearis"," 3.126362e-01","Road"
"149","Gayophytum_diffusum","Collomia_linearis"," 0.000000e+00","Road"
"150","Geranium_richardsonii","Collomia_linearis"," 5.683824e-01","Road"
"151","Lathyrus_leucanthus","Collomia_linearis"," 1.838235e-01","Road"
"152","Linaria_vulgaris","Collomia_linearis"," 0.000000e+00","Road"
"153","Lupinus_bakeri","Collomia_linearis"," 3.914916e-01","Road"
"154","Madia_glomerata","Collomia_linearis"," 3.676471e-03","Road"
"155","Mertensia_ciliata","Collomia_linearis",NA,"Road"
"156","Dasiphora_fruticosa","Collomia_linearis"," 3.365329e-01","Road"
"157","Potentilla_gracilis","Collomia_linearis"," 6.925134e-01","Road"
"158","Ranunculus_inamoenus","Collomia_linearis"," 3.308824e-02","Road"
"159","Taraxacum_officinale","Collomia_linearis"," 0.000000e+00","Road"
"160","Valeriana_occidentalis","Collomia_linearis"," 0.000000e+00","Road"
"161","Veratrum_tenuipetalum","Collomia_linearis"," 6.985294e-02","Road"
"162","Achillea_millefolium","Delphinium_nelsonii"," 1.110223e-16","Road"
"163","Agoseris_aurantiaca","Delphinium_nelsonii"," 0.000000e+00","Road"
"164","Androsace_septentrionalis","Delphinium_nelsonii"," 0.000000e+00","Road"
"165","Artemisia_tridentata","Delphinium_nelsonii"," 0.000000e+00","Road"
"166","Chrysothamnus_viscidiflorus","Delphinium_nelsonii"," 0.000000e+00","Road"
"167","Cirsium_arvense","Delphinium_nelsonii"," 0.000000e+00","Road"
"168","Collomia_linearis","Delphinium_nelsonii"," 0.000000e+00","Road"
"169","Delphinium_nelsonii","Delphinium_nelsonii"," 0.000000e+00","Road"
"170","Erigeron_speciosus","Delphinium_nelsonii"," 0.000000e+00","Road"
"171","Eriogonum_umbellatum","Delphinium_nelsonii"," 0.000000e+00","Road"
"172","Gayophytum_diffusum","Delphinium_nelsonii"," 0.000000e+00","Road"
"173","Geranium_richardsonii","Delphinium_nelsonii"," 0.000000e+00","Road"
"174","Lathyrus_leucanthus","Delphinium_nelsonii"," 0.000000e+00","Road"
