Agoseris_glauca,Aquilegia_coerulea,Boechera_stricta,Castilleja_spp,Castilleja_sulphurea,Claytonia_lanceolata ,Delphinium_barbeyi,Erigeron_speciosus,Erythronium_grandiflorum,Helianthella_quinquenervis,Heliomeris_multiflora,Hydrophyllum_capitatum,Hydrophyllum_fendleri,Lathyrus_leucanthus,Ligusticum_porteri,Lupinus_spp,Mertensia_brevistyla,Mertensia_ciliata,Potentilla_gracilis,Ribes_montigenum,Senecio_crassulus ,Thalictrum_fendleri,Vicia_americana,Viola_nuttalliii
0,0,0,0,0,42,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6
0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9,0,0,0,23
0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,1,0,0,0,8
0,1,0,0,7,0,0,0,0,0,0,0,4,47,27,0,0,4,1,0,1,11,1,0
0,0,0,4,0,0,0,0,0,1,0,1,0,33,6,1,0,5,0,0,28,0,4,0
0,0,0,0,1,0,1,0,0,6,0,0,0,15,4,0,0,3,19,0,31,0,6,0
1,0,0,4,0,0,6,45,0,8,1,0,0,0,0,0,0,3,10,0,27,0,1,0
1,0,0,0,0,0,0,147,0,2,31,0,0,0,0,0,0,0,4,0,2,0,0,0
0,0,0,0,0,0,0,59,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,22,0,0,79,0,0,0,0,0,0,0,1,0,0,0,0,0
