Achillea_millefolium,Androsace_septentrionalis,Artemisia_tridentata,Cirsium_arvense ,Collomia_linearis,Delphinium_nuttallianum,Ericameria_nauseosa,Erigeron_speciosus,Gayophytum_diffusum,Geranium_richardsonii,Geum_trifolium,Hymenoxis_hoopesii,Lathyrus_leucanthus,Lupinus_bakeri,Mertensia_brevistyla,Noccacea_fendleri,Dasiphora_fruticosa,Potentilla_gracilis,Primula_pauciflora,Ranunculus_alismifolius,Senecio_interrigrimus,Taraxacum_officional,Tragopogon_dubius,Valeriana_occidentalis,Viola_nuttallii
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,65,0
0,0,0,0,0,7,0,0,0,0,1,0,0,31,0,0,0,0,1,4,1,1,0,1,0
0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,11,3,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0
2,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
