Boechera_stricta,claytonia_lanceolata,Corydalis casaena,Eriogonum umbellatum,Erythronium grandiflorum,Fragaria virginiana,Frasera speciosa,Geranium richardsonii,Heterotheca villosa,Mertensia ciliata,Mertensia fusiformis,Noccaea fendleri,Oreochrysum parryi,Potentilla gracilis,Pseudocymopterus montanus,Ranunculus inamoenus,Senecio crassulus,Senecio serra,Veratrum tenuipetalum,Viola nuttalli
0,1,0,0,66,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
0,0,0,0,6,0,0,0,0,0,2,7,0,0,0,2,0,0,0,10
0,0,13,0,0,2,40,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,46,0,0,5,165,0,0,7,0,0,0,1,0,0,0,0,0,0
0,0,43,11,0,2,116,2,0,21,0,0,0,2,0,0,1,0,0,0
1,0,33,53,0,0,79,9,0,1,0,0,0,1,0,0,1,1,0,0
0,0,4,4,0,0,11,8,4,3,0,0,0,1,0,0,0,0,36,0
0,0,1,0,0,0,1,1,73,0,0,0,6,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,126,0,0,0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,11,0,0
