"","V2","V2.1","weight"
"1","Achillea.millefolium","Achillea.millefolium",0
"2","Agoseris.aurantiaca","Achillea.millefolium",0.333
"3","Androsace.septentrionalis","Achillea.millefolium",0
"4","Artemisia.tridentata","Achillea.millefolium",0.333
"5","Chrysothamnus.viscidiflorus","Achillea.millefolium",0.667
"6","Cirsium.arvense","Achillea.millefolium",0.333
"7","Collomia.linearis","Achillea.millefolium",0.0809
"8","Delphinium.nelsonii","Achillea.millefolium",0
"9","Erigeron.speciosus","Achillea.millefolium",0.259
"10","Eriogonum.umbellatum","Achillea.millefolium",0.333
"11","Gayophytum.diffusum","Achillea.millefolium",0
"12","Geranium.richardsonii","Achillea.millefolium",0.357
"13","Lathyrus.leucanthus","Achillea.millefolium",0
"14","Linaria.vulgaris","Achillea.millefolium",0.333
"15","Lupinus.bakeri","Achillea.millefolium",0.0857
"16","Madia.glomerata","Achillea.millefolium",0.333
"17","Potentilla.fruticosa","Achillea.millefolium",0.493
"18","Potentilla.gracilis","Achillea.millefolium",0.114
"19","Ranunculus.inamoenus","Achillea.millefolium",0
"20","Taraxacum.officinales","Achillea.millefolium",0
"21","Valeriana.occidentalis","Achillea.millefolium",0
"22","Veratrum.tenuipetalum","Achillea.millefolium",0
"23","Achillea.millefolium","Agoseris.aurantiaca",0.333
"24","Agoseris.aurantiaca","Agoseris.aurantiaca",0
"25","Androsace.septentrionalis","Agoseris.aurantiaca",0
"26","Artemisia.tridentata","Agoseris.aurantiaca",0
"27","Chrysothamnus.viscidiflorus","Agoseris.aurantiaca",0
"28","Cirsium.arvense","Agoseris.aurantiaca",0
"29","Collomia.linearis","Agoseris.aurantiaca",0.0772
"30","Delphinium.nelsonii","Agoseris.aurantiaca",0
"31","Erigeron.speciosus","Agoseris.aurantiaca",0.151
"32","Eriogonum.umbellatum","Agoseris.aurantiaca",0.481
"33","Gayophytum.diffusum","Agoseris.aurantiaca",0
"34","Geranium.richardsonii","Agoseris.aurantiaca",0.376
"35","Lathyrus.leucanthus","Agoseris.aurantiaca",0
"36","Linaria.vulgaris","Agoseris.aurantiaca",0
"37","Lupinus.bakeri","Agoseris.aurantiaca",0.0857
"38","Madia.glomerata","Agoseris.aurantiaca",0
"39","Potentilla.fruticosa","Agoseris.aurantiaca",0.192
"40","Potentilla.gracilis","Agoseris.aurantiaca",0.114
"41","Ranunculus.inamoenus","Agoseris.aurantiaca",0
"42","Taraxacum.officinales","Agoseris.aurantiaca",0
"43","Valeriana.occidentalis","Agoseris.aurantiaca",0
"44","Veratrum.tenuipetalum","Agoseris.aurantiaca",0
"45","Achillea.millefolium","Androsace.septentrionalis",0
"46","Agoseris.aurantiaca","Androsace.septentrionalis",0
"47","Androsace.septentrionalis","Androsace.septentrionalis",0
"48","Artemisia.tridentata","Androsace.septentrionalis",0
"49","Chrysothamnus.viscidiflorus","Androsace.septentrionalis",0
"50","Cirsium.arvense","Androsace.septentrionalis",0
"51","Collomia.linearis","Androsace.septentrionalis",0
"52","Delphinium.nelsonii","Androsace.septentrionalis",0
"53","Erigeron.speciosus","Androsace.septentrionalis",0
"54","Eriogonum.umbellatum","Androsace.septentrionalis",0
"55","Gayophytum.diffusum","Androsace.septentrionalis",0
"56","Geranium.richardsonii","Androsace.septentrionalis",0.0118
"57","Lathyrus.leucanthus","Androsace.septentrionalis",0.444
"58","Linaria.vulgaris","Androsace.septentrionalis",0
"59","Lupinus.bakeri","Androsace.septentrionalis",0.6
"60","Madia.glomerata","Androsace.septentrionalis",0
"61","Potentilla.fruticosa","Androsace.septentrionalis",0.0148
"62","Potentilla.gracilis","Androsace.septentrionalis",0
"63","Ranunculus.inamoenus","Androsace.septentrionalis",0
"64","Taraxacum.officinales","Androsace.septentrionalis",0.583
"65","Valeriana.occidentalis","Androsace.septentrionalis",0
"66","Veratrum.tenuipetalum","Androsace.septentrionalis",0
"67","Achillea.millefolium","Artemisia.tridentata",0.333
"68","Agoseris.aurantiaca","Artemisia.tridentata",0
"69","Androsace.septentrionalis","Artemisia.tridentata",0
"70","Artemisia.tridentata","Artemisia.tridentata",0
"71","Chrysothamnus.viscidiflorus","Artemisia.tridentata",0.643
"72","Cirsium.arvense","Artemisia.tridentata",1
"73","Collomia.linearis","Artemisia.tridentata",0.00368
"74","Delphinium.nelsonii","Artemisia.tridentata",0
"75","Erigeron.speciosus","Artemisia.tridentata",0.046
"76","Eriogonum.umbellatum","Artemisia.tridentata",0
"77","Gayophytum.diffusum","Artemisia.tridentata",0
"78","Geranium.richardsonii","Artemisia.tridentata",0
"79","Lathyrus.leucanthus","Artemisia.tridentata",0
"80","Linaria.vulgaris","Artemisia.tridentata",0
"81","Lupinus.bakeri","Artemisia.tridentata",0
"82","Madia.glomerata","Artemisia.tridentata",1
"83","Potentilla.fruticosa","Artemisia.tridentata",0.182
"84","Potentilla.gracilis","Artemisia.tridentata",0
"85","Ranunculus.inamoenus","Artemisia.tridentata",0
"86","Taraxacum.officinales","Artemisia.tridentata",0
"87","Valeriana.occidentalis","Artemisia.tridentata",0
"88","Veratrum.tenuipetalum","Artemisia.tridentata",0
"89","Achillea.millefolium","Chrysothamnus.viscidiflorus",0.667
"90","Agoseris.aurantiaca","Chrysothamnus.viscidiflorus",0
"91","Androsace.septentrionalis","Chrysothamnus.viscidiflorus",0
"92","Artemisia.tridentata","Chrysothamnus.viscidiflorus",0.643
"93","Chrysothamnus.viscidiflorus","Chrysothamnus.viscidiflorus",0
"94","Cirsium.arvense","Chrysothamnus.viscidiflorus",0.643
"95","Collomia.linearis","Chrysothamnus.viscidiflorus",0.00368
"96","Delphinium.nelsonii","Chrysothamnus.viscidiflorus",0
"97","Erigeron.speciosus","Chrysothamnus.viscidiflorus",0.109
"98","Eriogonum.umbellatum","Chrysothamnus.viscidiflorus",0
"99","Gayophytum.diffusum","Chrysothamnus.viscidiflorus",0
