Date,Site,Plot,Species,Number_units_w_fruit,Number_fruits_per_unit,Seeds_per_fruit,Eaten,Dead,Otherwise_gone,Flowering_week
6/28/21,PBM,2,Erythronium_grandiflorum,2,1,28,0,0,0,2
6/28/21,PBM,5,Erythronium_grandiflorum,2,1,21,11,3,2,1
6/28/21,PBM,2,Erythronium_grandiflorum,3,1,64,0,2,0,1
6/28/21,PBM,4,Erythronium_grandiflorum,3,1,18,0,0,1,2
6/28/21,PBM,4,Erythronium_grandiflorum,7,1,20,3,3,3,1
6/28/21,PBM,3,Erythronium_grandiflorum,8,1,40,8,0,0,1
6/28/21,Pfeiler,1,Erythronium_grandiflorum,13,1,18,2,3,0,0
6/29/21,Road,5,Taraxacum_officinale,1,1,gone,0,0,0,1
6/29/21,Road,5,Taraxacum_officinale,7,1,gone,0,0,0,2
6/29/21,Road,5,Ranunculus_inamoenus,9,1,15,0,0,1,1
6/29/21,Road,4,Valeriana_occidentalis,10,6,12,0,0,1,1
6/29/21,Road,3,Valeriana_occidentalis,21,7,25,1,0,9,1
6/29/21,Road,3,Delphinium_nuttallianum,1,9,11,0,0,1,1
6/29/21,Road,2,Delphinium_nuttallianum,3,9,6,0,,1,1
6/29/21,Road,1,Delphinium_nuttallianum,4,9,9,0,1,,1
6/29/21,Road,3,Lupinus_bakeri,2,11,6,,,,2
7/5/21,Pfeiler,1,Viola_nuttallii,5,1,16,0,8,0,2
7/5/21,Pfeiler,4,Viola_nuttallii,11,1,10,0,4,1,1
7/5/21,Pfeiler,4,Viola_nuttallii,98,1,9,0,15,11,2
7/6/21,PBM,4,Erythronium_grandiflorum,0,0,0,0,1,0,1
7/6/21,PBM,5,Ranunculus_inamoenus,0,0,0,0,1,0,1
7/6/21,PBM,3,Erythronium_grandiflorum,0,0,0,0,2,0,1
7/6/21,PBM,4,Viola_nuttallii,7,1,11,0,6,0,2
7/6/21,PBM,5,Viola_nuttallii,8,1,6,0,2,0,2
7/7/21,Road,3,Geranium_richardsonii,2,1,5,0,0,0,2
7/7/21,Road,2,Valeriana_occidentalis,2,8,20,0,0,0,1
7/7/21,Road,3,Lupinus_bakeri,5,8,4,0,0,0,2
7/12/21,Pfeiler,1,Viola_nuttallii,1,1,16,0,0,0,2
7/12/21,Pfeiler,4,Aquilegia_coerulea,1,6,34,0,0,0,4
7/13/21,Pfeiler,1,Castilleja_sulphurea,0,0,0,8,0,0,5
7/13/21,Pfeiler,4,Lathyrus_leucanthus,0,0,0,5,0,0,4
7/13/21,Pfeiler,4,Lathyrus_leucanthus,0,0,0,5,1,,3
7/13/21,Road,3,Lupinus_bakeri,2,0,inviable,0,0,0,2
